# Q-Day series — 30 bài
# slug | cluster (A=green Khoa học, B=amber Phương pháp, C=red Câu chuyện) | title
ngay-1-24-gio-dau-tien-bo-thuoc-la|A|Ngày 1 — 24 Giờ Đầu Cơ Thể Bắt Đầu Hồi Phục
ngay-2-dinh-con-them-nicotine|A|Ngày 2 — Đỉnh Cơn Thèm Nicotine
ngay-3-buc-tuong-trieu-chung-cai-dat-dinh-va-bat|C|Ngày 3 — Bức Tường Withdrawal
ngay-4-mat-ngu-va-roi-loan-giac-ngu-giai-thich-khoa-hoc|A|Ngày 4 — Mất Ngủ Và REM Rebound
ngay-5-them-an-va-noi-so-tang-can-su-that-khoa-h|A|Ngày 5 — Thèm Ăn Và Nỗi Sợ Tăng Cân
ngay-6-cau-gat-voi-nguoi-than-day-khong-phai-tin|A|Ngày 6 — Cáu Gắt Là Cortisol Đỉnh
ngay-7-moc-1-tuan-nhung-gi-da-thay-doi-trong-co-|C|Ngày 7 — Mốc 1 Tuần, 5 Thay Đổi Đo Được
moc-2-tuan-tuan-hoan-cai-thien-phoi-manh-hon|C|Ngày 14 — Mốc 2 Tuần Tuần Hoàn + Phổi
ngay-21-moc-3-tuan-bo-thuoc-vong-lap-thoi-quen-da-vung-chua|C|Ngày 21 — Mốc 3 Tuần Habit Cũ Yếu Đi
ngay-30-moc-1-thang-sau-bo-thuoc-ban-da-tro-thanh-nguoi-khac|C|Ngày 30 — Mốc 1 Tháng Bạn Đã Khác
